timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < maine,power,1.5813333038552562e-11,expExc
20th < 2030,canada < canada_,usa < maine,power,1.5813333038552562e-11,expExc
20th < 2025,canada < canada_,usa < michigan,power,1.7619520208175686e-11,expExc
20th < 2030,canada < canada_,usa < michigan,power,1.7619520208175686e-11,expExc
20th < 2025,canada < canada_,usa < minnesota,power,1.0145421554878699e-11,expExc
20th < 2030,canada < canada_,usa < minnesota,power,1.0145421554878699e-11,expExc
20th < 2025,canada < canada_,usa < montana,power,8.709065742971388e-12,expExc
20th < 2030,canada < canada_,usa < montana,power,8.709065742971388e-12,expExc
20th < 2025,canada < canada_,usa < newHampshire,power,1.701665098144362e-11,expExc
20th < 2030,canada < canada_,usa < newHampshire,power,1.701665098144362e-11,expExc
20th < 2025,canada < canada_,usa < newYork,power,1.6894486095792372e-11,expExc
20th < 2030,canada < canada_,usa < newYork,power,1.6894486095792372e-11,expExc
20th < 2025,canada < canada_,usa < northDakota,power,1.0574614862632497e-11,expExc
20th < 2030,canada < canada_,usa < northDakota,power,1.0574614862632497e-11,expExc
20th < 2025,canada < canada_,usa < ohio,power,1.7013451826212123e-11,expExc
20th < 2030,canada < canada_,usa < ohio,power,1.7013451826212123e-11,expExc
20th < 2025,canada < canada_,usa < vermont,power,1.6954717105033823e-11,expExc
20th < 2030,canada < canada_,usa < vermont,power,1.6954717105033823e-11,expExc
20th < 2025,canada < canada_,usa < washington,power,8.863614002968248e-12,expExc
20th < 2030,canada < canada_,usa < washington,power,8.863614002968248e-12,expExc
20th < 2025,canada < canada_,usa < wisconsin,power,1.6533516789403255e-11,expExc
20th < 2030,canada < canada_,usa < wisconsin,power,1.6533516789403255e-11,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,2.4011891936296116e-11,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,power,2.4011891936296116e-11,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,power,25.617476221841613,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,power,25.617476221841613,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,power,25.575046152373865,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,power,25.575046152373865,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,power,1.0525636964414583e-11,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,power,1.0525636964414583e-11,expExc
20th < 2025,mexico < central,mexico < occidental,power,1.2113215654249792,expExc
20th < 2030,mexico < central,mexico < occidental,power,1.2113215654249792,expExc
20th < 2025,mexico < central,mexico < oriental,power,7.263734079017782,expExc
20th < 2030,mexico < central,mexico < oriental,power,7.263734079017782,expExc
20th < 2025,mexico < noreste,mexico < norte,power,2.7091681070159,expExc
20th < 2030,mexico < noreste,mexico < norte,power,2.7091681070159,expExc
20th < 2025,mexico < noreste,mexico < occidental,power,1.611494366757177,expExc
20th < 2030,mexico < noreste,mexico < occidental,power,1.611494366757177,expExc
20th < 2025,mexico < noreste,mexico < oriental,power,6.908385920714359,expExc
20th < 2030,mexico < noreste,mexico < oriental,power,6.908385920714359,expExc
20th < 2025,mexico < noroeste,mexico < norte,power,2.0331257674191323,expExc
20th < 2030,mexico < noroeste,mexico < norte,power,2.0331257674191323,expExc
20th < 2025,mexico < noroeste,mexico < occidental,power,24.052899830652926,expExc
20th < 2030,mexico < noroeste,mexico < occidental,power,24.052899830652926,expExc
20th < 2025,mexico < norte,mexico < occidental,power,5.4250251232704534e-11,expExc
20th < 2030,mexico < norte,mexico < occidental,power,5.4250251232704534e-11,expExc
20th < 2025,mexico < occidental,mexico < oriental,power,23.379654151919414,expExc
20th < 2030,mexico < occidental,mexico < oriental,power,23.379654151919414,expExc
20th < 2025,mexico < oriental,mexico < peninsular,power,0.5182662046774758,expExc
20th < 2030,mexico < oriental,mexico < peninsular,power,0.5182662046774758,expExc
20th < 2025,usa < alabama,usa < florida,power,3.148827139322404e-11,expExc
20th < 2030,usa < alabama,usa < florida,power,3.148827139322404e-11,expExc
20th < 2025,usa < alabama,usa < georgia,power,2.3042060866954745e-11,expExc
20th < 2030,usa < alabama,usa < georgia,power,2.3042060866954745e-11,expExc
20th < 2025,usa < alabama,usa < mississippi,power,2.8625694994163244e-11,expExc
20th < 2030,usa < alabama,usa < mississippi,power,2.8625694994163244e-11,expExc
20th < 2025,usa < alabama,usa < tennessee,power,3.445164849408195e-11,expExc
20th < 2030,usa < alabama,usa < tennessee,power,3.445164849408195e-11,expExc
20th < 2025,usa < arizona,usa < california,power,7.2274598946312825,expExc
20th < 2030,usa < arizona,usa < california,power,7.2274598946312825,expExc
20th < 2025,usa < arizona,usa < colorado,power,7.843225556473494e-11,expExc
20th < 2030,usa < arizona,usa < colorado,power,7.843225556473494e-11,expExc
20th < 2025,usa < arizona,usa < nevada,power,1.2043464416268382e-11,expExc
20th < 2030,usa < arizona,usa < nevada,power,1.2043464416268382e-11,expExc
20th < 2025,usa < arizona,usa < newMexico,power,3.733640089486755e-11,expExc
20th < 2030,usa < arizona,usa < newMexico,power,3.733640089486755e-11,expExc
20th < 2025,usa < arizona,usa < utah,power,1.4513081850568962e-11,expExc
20th < 2030,usa < arizona,usa < utah,power,1.4513081850568962e-11,expExc
20th < 2025,usa < arkansas,usa < louisiana,power,2.706848802373465e-11,expExc
20th < 2030,usa < arkansas,usa < louisiana,power,2.706848802373465e-11,expExc
20th < 2025,usa < arkansas,usa < mississippi,power,2.954508271315853e-11,expExc
20th < 2030,usa < arkansas,usa < mississippi,power,2.954508271315853e-11,expExc
20th < 2025,usa < arkansas,usa < missouri,power,7.174194985126437e-12,expExc
20th < 2030,usa < arkansas,usa < missouri,power,7.174194985126437e-12,expExc
20th < 2025,usa < arkansas,usa < oklahoma,power,3.231315404762752e-11,expExc
20th < 2030,usa < arkansas,usa < oklahoma,power,3.231315404762752e-11,expExc
20th < 2025,usa < arkansas,usa < tennessee,power,2.228314323760092e-11,expExc
20th < 2030,usa < arkansas,usa < tennessee,power,2.228314323760092e-11,expExc
20th < 2025,usa < arkansas,usa < texas,power,4.3409579532526165e-11,expExc
20th < 2030,usa < arkansas,usa < texas,power,4.3409579532526165e-11,expExc
20th < 2025,usa < california,usa < nevada,power,1.0438908003192227e-10,expExc
