region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
usa,northDakota,res,wind,q1m,avaConv,0.185137037
usa,northDakota,res,wind,q1p,avaConv,0.256402778
usa,northDakota,res,wind,q1a,avaConv,0.355352778
usa,northDakota,res,wind,q2n,avaConv,0.2311644
usa,northDakota,res,wind,q2m,avaConv,0.102166667
usa,northDakota,res,wind,q2p,avaConv,0.131391667
usa,northDakota,res,wind,q2a,avaConv,0.243537396
usa,northDakota,res,wind,q3n,avaConv,0.260647131
usa,northDakota,res,wind,q3m,avaConv,0.17185348
usa,northDakota,res,wind,q3p,avaConv,0.214016484
usa,northDakota,res,wind,q3a,avaConv,0.285596154
usa,northDakota,res,wind,q4n,avaConv,0.31313831
usa,northDakota,res,wind,q4m,avaConv,0.211032967
