region_2,carrier_1,timestep_2,technology_1,technology_2,parameter,value
newYork,mobilityFreight,2020,frtRail,,genLow,15592.8
newYork,mobilityFreight,2025,frtRail,,genLow,17169.6
newYork,mobilityFreight,2030,frtRail,,genLow,18921.6
newYork,mobilityFreight,2035,frtRail,,genLow,20673.6
newYork,mobilityFreight,2040,frtRail,,genLow,22776
newYork,mobilityFreight,2045,frtRail,,genLow,25053.6
newYork,mobilityFreight,2050,frtRail,,genLow,27506.4
noreste,mobilityFreight,2015,frtRail,,genLow,525.6
noreste,mobilityFreight,2020,frtRail,,genLow,700.8
noreste,mobilityFreight,2025,frtRail,,genLow,700.8
noreste,mobilityFreight,2030,frtRail,,genLow,876
noreste,mobilityFreight,2035,frtRail,,genLow,1051.2
noreste,mobilityFreight,2040,frtRail,,genLow,1226.4
noreste,mobilityFreight,2045,frtRail,,genLow,1226.4
noreste,mobilityFreight,2050,frtRail,,genLow,1401.6
noroeste,mobilityFreight,2015,frtRail,,genLow,876
noroeste,mobilityFreight,2020,frtRail,,genLow,1051.2
noroeste,mobilityFreight,2025,frtRail,,genLow,1226.4
noroeste,mobilityFreight,2030,frtRail,,genLow,1401.6
noroeste,mobilityFreight,2035,frtRail,,genLow,1576.8
noroeste,mobilityFreight,2040,frtRail,,genLow,1752
noroeste,mobilityFreight,2045,frtRail,,genLow,2102.4
noroeste,mobilityFreight,2050,frtRail,,genLow,2277.6
norte,mobilityFreight,2015,frtRail,,genLow,1927.2
norte,mobilityFreight,2020,frtRail,,genLow,2102.4
norte,mobilityFreight,2025,frtRail,,genLow,2452.8
norte,mobilityFreight,2030,frtRail,,genLow,2628
norte,mobilityFreight,2035,frtRail,,genLow,3153.6
norte,mobilityFreight,2040,frtRail,,genLow,3504
norte,mobilityFreight,2045,frtRail,,genLow,4029.6
norte,mobilityFreight,2050,frtRail,,genLow,4380
northCarolina,mobilityFreight,2015,frtRail,,genLow,18220.8
northCarolina,mobilityFreight,2020,frtRail,,genLow,20148
northCarolina,mobilityFreight,2025,frtRail,,genLow,22075.2
northCarolina,mobilityFreight,2030,frtRail,,genLow,24177.6
northCarolina,mobilityFreight,2035,frtRail,,genLow,26630.4
northCarolina,mobilityFreight,2040,frtRail,,genLow,29258.4
northCarolina,mobilityFreight,2045,frtRail,,genLow,32236.8
northCarolina,mobilityFreight,2050,frtRail,,genLow,35390.4
northDakota,mobilityFreight,2015,frtRail,,genLow,44150.4
northDakota,mobilityFreight,2020,frtRail,,genLow,48355.2
northDakota,mobilityFreight,2025,frtRail,,genLow,53260.8
northDakota,mobilityFreight,2030,frtRail,,genLow,58516.8
northDakota,mobilityFreight,2035,frtRail,,genLow,64298.4
northDakota,mobilityFreight,2040,frtRail,,genLow,70605.6
northDakota,mobilityFreight,2045,frtRail,,genLow,77613.6
northDakota,mobilityFreight,2050,frtRail,,genLow,85322.4
occidental,mobilityFreight,2015,frtRail,,genLow,3153.6
occidental,mobilityFreight,2020,frtRail,,genLow,3504
occidental,mobilityFreight,2025,frtRail,,genLow,4029.6
occidental,mobilityFreight,2030,frtRail,,genLow,4555.2
occidental,mobilityFreight,2035,frtRail,,genLow,5080.8
occidental,mobilityFreight,2040,frtRail,,genLow,5781.6
occidental,mobilityFreight,2045,frtRail,,genLow,6657.6
occidental,mobilityFreight,2050,frtRail,,genLow,7358.4
ohio,mobilityFreight,2015,frtRail,,genLow,26630.4
ohio,mobilityFreight,2020,frtRail,,genLow,29258.4
ohio,mobilityFreight,2025,frtRail,,genLow,32061.6
ohio,mobilityFreight,2030,frtRail,,genLow,35390.4
ohio,mobilityFreight,2035,frtRail,,genLow,38719.2
ohio,mobilityFreight,2040,frtRail,,genLow,42573.6
ohio,mobilityFreight,2045,frtRail,,genLow,46778.4
ohio,mobilityFreight,2050,frtRail,,genLow,51508.8
oklahoma,mobilityFreight,2015,frtRail,,genLow,20848.8
oklahoma,mobilityFreight,2020,frtRail,,genLow,22951.2
oklahoma,mobilityFreight,2025,frtRail,,genLow,25228.8
oklahoma,mobilityFreight,2030,frtRail,,genLow,27681.6
oklahoma,mobilityFreight,2035,frtRail,,genLow,30484.8
oklahoma,mobilityFreight,2040,frtRail,,genLow,33463.2
oklahoma,mobilityFreight,2045,frtRail,,genLow,36792
oklahoma,mobilityFreight,2050,frtRail,,genLow,40471.2
oregon,mobilityFreight,2015,frtRail,,genLow,11037.6
oregon,mobilityFreight,2020,frtRail,,genLow,12088.8
oregon,mobilityFreight,2025,frtRail,,genLow,13315.2
oregon,mobilityFreight,2030,frtRail,,genLow,14541.6
oregon,mobilityFreight,2035,frtRail,,genLow,15943.2
oregon,mobilityFreight,2040,frtRail,,genLow,17520
oregon,mobilityFreight,2045,frtRail,,genLow,19272
oregon,mobilityFreight,2050,frtRail,,genLow,21199.2
oriental,mobilityFreight,2015,frtRail,,genLow,1752
oriental,mobilityFreight,2020,frtRail,,genLow,2102.4
oriental,mobilityFreight,2025,frtRail,,genLow,2277.6
oriental,mobilityFreight,2030,frtRail,,genLow,2628
oriental,mobilityFreight,2035,frtRail,,genLow,2978.4
oriental,mobilityFreight,2040,frtRail,,genLow,3328.8
oriental,mobilityFreight,2045,frtRail,,genLow,3854.4
oriental,mobilityFreight,2050,frtRail,,genLow,4380
peninsular,mobilityFreight,2015,frtRail,,genLow,175.2
peninsular,mobilityFreight,2020,frtRail,,genLow,175.2
peninsular,mobilityFreight,2025,frtRail,,genLow,350.4
peninsular,mobilityFreight,2030,frtRail,,genLow,350.4
peninsular,mobilityFreight,2035,frtRail,,genLow,350.4
peninsular,mobilityFreight,2040,frtRail,,genLow,525.6
peninsular,mobilityFreight,2045,frtRail,,genLow,525.6
peninsular,mobilityFreight,2050,frtRail,,genLow,525.6
pennsylvania,mobilityFreight,2015,frtRail,,genLow,34514.4
pennsylvania,mobilityFreight,2020,frtRail,,genLow,38018.4
pennsylvania,mobilityFreight,2025,frtRail,,genLow,41697.6
pennsylvania,mobilityFreight,2030,frtRail,,genLow,45902.4
pennsylvania,mobilityFreight,2035,frtRail,,genLow,50457.6
pennsylvania,mobilityFreight,2040,frtRail,,genLow,55538.4
pennsylvania,mobilityFreight,2045,frtRail,,genLow,60969.6
pennsylvania,mobilityFreight,2050,frtRail,,genLow,66926.4
rhodeIsland,mobilityFreight,2015,frtRail,,genLow,350.4
rhodeIsland,mobilityFreight,2020,frtRail,,genLow,350.4
rhodeIsland,mobilityFreight,2025,frtRail,,genLow,525.6
rhodeIsland,mobilityFreight,2030,frtRail,,genLow,525.6
rhodeIsland,mobilityFreight,2035,frtRail,,genLow,525.6
rhodeIsland,mobilityFreight,2040,frtRail,,genLow,700.8
rhodeIsland,mobilityFreight,2045,frtRail,,genLow,700.8
rhodeIsland,mobilityFreight,2050,frtRail,,genLow,876
southCarolina,mobilityFreight,2015,frtRail,,genLow,12614.4
southCarolina,mobilityFreight,2020,frtRail,,genLow,14016
southCarolina,mobilityFreight,2025,frtRail,,genLow,15417.6
southCarolina,mobilityFreight,2030,frtRail,,genLow,16819.2
southCarolina,mobilityFreight,2035,frtRail,,genLow,18571.2
southCarolina,mobilityFreight,2040,frtRail,,genLow,20323.2
southCarolina,mobilityFreight,2045,frtRail,,genLow,22425.6
southCarolina,mobilityFreight,2050,frtRail,,genLow,24528
southDakota,mobilityFreight,2015,frtRail,,genLow,8409.6
southDakota,mobilityFreight,2020,frtRail,,genLow,9285.6
southDakota,mobilityFreight,2025,frtRail,,genLow,10161.6
southDakota,mobilityFreight,2030,frtRail,,genLow,11212.8
southDakota,mobilityFreight,2035,frtRail,,genLow,12439.2
southDakota,mobilityFreight,2040,frtRail,,genLow,13665.6
southDakota,mobilityFreight,2045,frtRail,,genLow,14892
southDakota,mobilityFreight,2050,frtRail,,genLow,16468.8
tennessee,mobilityFreight,2015,frtRail,,genLow,12614.4
tennessee,mobilityFreight,2020,frtRail,,genLow,14016
tennessee,mobilityFreight,2025,frtRail,,genLow,15417.6
tennessee,mobilityFreight,2030,frtRail,,genLow,16819.2
tennessee,mobilityFreight,2035,frtRail,,genLow,18571.2
tennessee,mobilityFreight,2040,frtRail,,genLow,20323.2
tennessee,mobilityFreight,2045,frtRail,,genLow,22425.6
tennessee,mobilityFreight,2050,frtRail,,genLow,24703.2
texas,mobilityFreight,2015,frtRail,,genLow,157504.8
texas,mobilityFreight,2020,frtRail,,genLow,172922.4
texas,mobilityFreight,2025,frtRail,,genLow,190092
texas,mobilityFreight,2030,frtRail,,genLow,208838.4
texas,mobilityFreight,2035,frtRail,,genLow,229336.8
texas,mobilityFreight,2040,frtRail,,genLow,251937.6
texas,mobilityFreight,2045,frtRail,,genLow,276991.2
texas,mobilityFreight,2050,frtRail,,genLow,304322.4
utah,mobilityFreight,2015,frtRail,,genLow,7708.8
utah,mobilityFreight,2020,frtRail,,genLow,8409.6
utah,mobilityFreight,2025,frtRail,,genLow,9285.6
utah,mobilityFreight,2030,frtRail,,genLow,10161.6
utah,mobilityFreight,2035,frtRail,,genLow,11212.8
utah,mobilityFreight,2040,frtRail,,genLow,12439.2
utah,mobilityFreight,2045,frtRail,,genLow,13665.6
utah,mobilityFreight,2050,frtRail,,genLow,14892
vermont,mobilityFreight,2015,frtRail,,genLow,700.8
vermont,mobilityFreight,2020,frtRail,,genLow,876
vermont,mobilityFreight,2025,frtRail,,genLow,876
vermont,mobilityFreight,2030,frtRail,,genLow,876
vermont,mobilityFreight,2035,frtRail,,genLow,1051.2
vermont,mobilityFreight,2040,frtRail,,genLow,1226.4
vermont,mobilityFreight,2045,frtRail,,genLow,1226.4
vermont,mobilityFreight,2050,frtRail,,genLow,1401.6
virginia,mobilityFreight,2015,frtRail,,genLow,18571.2
virginia,mobilityFreight,2020,frtRail,,genLow,20498.4
virginia,mobilityFreight,2025,frtRail,,genLow,22425.6
virginia,mobilityFreight,2030,frtRail,,genLow,24703.2
virginia,mobilityFreight,2035,frtRail,,genLow,27156
virginia,mobilityFreight,2040,frtRail,,genLow,29784
virginia,mobilityFreight,2045,frtRail,,genLow,32762.4
virginia,mobilityFreight,2050,frtRail,,genLow,35916
washington,mobilityFreight,2015,frtRail,,genLow,30660
washington,mobilityFreight,2020,frtRail,,genLow,33638.4
washington,mobilityFreight,2025,frtRail,,genLow,36967.2
washington,mobilityFreight,2030,frtRail,,genLow,40646.4
washington,mobilityFreight,2035,frtRail,,genLow,44676
washington,mobilityFreight,2040,frtRail,,genLow,49056
washington,mobilityFreight,2045,frtRail,,genLow,53961.6
washington,mobilityFreight,2050,frtRail,,genLow,59392.8
westVirginia,mobilityFreight,2015,frtRail,,genLow,27856.8
westVirginia,mobilityFreight,2020,frtRail,,genLow,30660
westVirginia,mobilityFreight,2025,frtRail,,genLow,33638.4
westVirginia,mobilityFreight,2030,frtRail,,genLow,36967.2
westVirginia,mobilityFreight,2035,frtRail,,genLow,40646.4
westVirginia,mobilityFreight,2040,frtRail,,genLow,44676
westVirginia,mobilityFreight,2045,frtRail,,genLow,49056
westVirginia,mobilityFreight,2050,frtRail,,genLow,54136.8
wisconsin,mobilityFreight,2015,frtRail,,genLow,26104.8
wisconsin,mobilityFreight,2020,frtRail,,genLow,28557.6
wisconsin,mobilityFreight,2025,frtRail,,genLow,31536
wisconsin,mobilityFreight,2030,frtRail,,genLow,34689.6
